"","All U.S. citizens and permanent residents, all fields","Science and engineering","Science","Computer and information sciences","Geosciences, atmospheric sciences, and ocean sciences","Atmospheric sciences","Earth sciences","Ocean sciences","Life sciences","Agricultural sciences and natural resources","Biological and biomedical sciences","Health sciences","Mathematics and Statistics","Physical sciences","Astronomy","Chemistry","Physics","Other physical sciences","Psychology and social sciences","Anthropology","Economics","Political science","Psychology","Sociology","Other social sciences","Engineering","Aerospace, aeronautical, and astronautical engineering","Bioengineering and biomedical engineering","Chemical engineering","Civil engineering","Electrical, electronics, and communications engineering","Industrial and manufacturing engineering","Materials science engineering","Mechanical engineering","Other engineering","Non-science and engineering","Education","Humanities and arts","Technologies","Other non-science and engineering/unknown","Year","Ethnicity","Gender"
"123",96227,35588,34729,1330,46,7,26,13,14515,312,4518,9685,403,657,0,592,43,22,17778,330,469,2070,8601,3409,2899,859,21,59,119,112,148,87,11,108,194,60639,5696,11687,1559,41697,"2009","African American","Female"
"124",100435,37269,36462,1295,53,6,33,14,15600,384,4487,10729,422,628,2,582,29,15,18464,336,485,2004,9009,3489,3141,807,16,55,116,115,126,96,7,101,175,63166,5707,11679,1574,44206,"2010","African American","Female"
"125",106001,40797,39981,1322,57,5,33,19,17596,351,4717,12528,412,646,0,581,38,27,19948,344,486,1972,9449,3824,3873,816,13,66,112,128,127,94,12,105,159,65204,6000,11792,1509,45903,"2011","African American","Female"
"126",113611,44544,43677,1464,75,9,48,18,19741,459,4957,14325,465,798,1,717,43,37,21134,382,445,2089,10276,3896,4046,867,15,76,135,126,135,78,11,116,175,69067,6458,12261,1870,48478,"2012","African American","Female"
"127",116345,46977,46119,1491,77,5,52,20,21792,474,5180,16138,515,729,1,670,29,29,21515,385,467,2064,10652,3887,4060,858,13,62,125,116,134,83,15,122,188,69368,7030,11997,1849,48492,"2013","African American","Female"
"128",116388,48517,47579,1463,81,7,55,19,23291,547,5318,17426,522,757,2,675,52,28,21465,400,465,2044,10878,3818,3860,938,11,78,138,125,126,83,12,126,239,67871,6650,12082,1875,47264,"2014","African American","Female"
"129",117189,49815,48841,1462,80,4,59,17,24570,544,5649,18377,516,694,1,614,47,32,21519,362,528,1969,11116,3778,3766,974,26,91,127,132,140,107,19,133,199,67374,6437,11453,1986,47498,"2015","African American","Female"
"130",119225,51928,50870,1434,91,10,58,23,26425,615,6151,19659,501,684,4,600,56,24,21735,375,483,1935,11329,3615,3998,1058,26,104,152,145,126,100,16,158,231,67297,6015,11463,1982,47837,"2016","African American","Female"
"131",120841,53085,51964,1565,86,6,58,22,27623,655,6538,20430,503,775,3,695,56,21,21412,345,534,1931,11336,3446,3820,1121,21,116,177,127,137,97,16,181,249,67756,5947,11534,2117,48158,"2017","African American","Female"
"132",120379,53902,52634,1725,118,14,73,31,28302,629,6633,21040,517,821,3,751,49,18,21151,325,526,1995,11155,3344,3806,1268,20,135,196,166,145,113,13,202,278,66477,5792,11538,2066,47081,"2018","African American","Female"
"133",591628,212361,204873,3235,1856,228,1111,517,97108,7669,28943,60496,4806,4379,94,3405,698,182,93489,4076,3823,11412,46726,11308,16144,7488,294,686,953,1465,562,596,137,1333,1462,379267,71780,108623,8641,190223,"2008","White","Female"
"134",599871,217762,210392,3181,1920,198,1159,563,102208,8003,29624,64581,4734,4457,104,3518,653,182,93892,4339,3864,10995,46605,11315,16774,7370,298,727,1012,1371,494,582,129,1294,1463,382109,71355,108478,8864,193412,"2009","White","Female"
"135",606251,223946,216063,3493,1952,192,1193,567,107835,8666,30139,69030,4859,4569,91,3523,746,209,93355,4380,3818,10828,46491,10797,17041,7883,287,752,1109,1468,507,617,160,1402,1581,382305,70626,107212,8950,195517,"2010","White","Female"
"136",618578,236602,228184,3625,2167,178,1363,626,117097,9436,31866,75795,4992,4570,108,3617,674,171,95733,4508,3809,10476,47593,10611,18736,8418,293,787,1227,1645,518,605,185,1377,1781,381976,71058,106208,9470,195240,"2011","White","Female"
"137",635910,253076,243946,4000,2382,223,1468,691,128447,10544,33413,84490,5382,4734,110,3716,702,206,99001,5099,3481,10105,50221,10741,19354,9130,293,962,1281,1649,570,668,175,1598,1934,382834,72249,106357,10321,193907,"2012","White","Female"
"138",646667,266413,256782,4288,2506,206,1543,757,139252,11405,34669,93178,5641,4781,85,3702,786,208,100314,5276,3408,9406,52381,10557,19286,9631,295,1005,1360,1696,582,674,216,1684,2119,380254,70819,104417,10611,194407,"2013","White","Female"
"139",647404,275396,264833,4727,2551,205,1614,732,148571,11856,35991,100724,5593,4972,114,3821,811,226,98419,5080,3618,8971,52384,10112,18254,10563,300,1187,1539,1695,725,794,206,1959,2158,372008,67020,99623,11189,194176,"2014","White","Female"
"140",646445,283580,272316,4952,2737,211,1713,813,159708,12275,37578,109855,5550,4890,100,3832,774,184,94479,4487,3796,8311,51604,9224,17057,11264,300,1301,1642,1628,748,897,236,2077,2435,362865,62372,92942,11922,195629,"2015","White","Female"
"141",645734,289030,276455,5441,2764,190,1745,829,166239,12750,39039,114450,5537,5017,73,3876,896,172,91457,3962,3985,8155,50295,8704,16356,12575,325,1455,1801,1821,822,991,261,2425,2674,356704,59262,87572,12399,197471,"2016","White","Female"
"142",648136,293707,279806,5879,2807,208,1743,856,171341,12864,39993,118484,5469,5130,109,3967,889,165,89180,3604,3974,8440,49123,8299,15740,13901,310,1651,1992,1830,963,1138,280,2808,2929,354429,58255,84787,12690,198697,"2017","White","Female"
"143",649703,299926,285005,6479,2717,179,1704,834,176090,13510,40948,121632,5710,5149,131,3922,944,152,88860,3621,4285,8766,48515,8249,15424,14921,323,1793,2191,1979,1004,1198,287,2963,3183,349777,56556,82120,12889,198212,"2018","White","Female"
"144",54492,19521,18882,698,161,12,101,48,8195,504,2505,5186,343,428,8,328,80,12,9057,539,468,1142,3765,1121,2022,639,29,59,82,116,70,28,9,115,131,34971,3553,11520,641,19257,"2008","Other","Female"
"145",58374,21312,20679,758,143,5,96,42,9275,568,2676,6031,401,360,14,270,61,15,9742,457,492,1128,4269,1128,2268,633,25,76,57,120,70,27,15,104,139,37062,3546,11517,768,21231,"2009","Other","Female"
"146",67788,25278,24501,829,153,10,108,35,11120,706,3174,7240,455,431,9,340,68,14,11513,588,579,1330,5271,1343,2402,777,26,75,107,124,115,40,9,117,164,42510,3978,12922,819,24791,"2010","Other","Female"
"147",76745,29308,28388,970,201,15,136,50,13340,903,3469,8968,456,539,7,366,85,81,12882,650,702,1386,5569,1429,3146,920,26,122,95,172,87,58,15,144,201,47437,4793,13964,945,27735,"2011","Other","Female"
"148",80891,32192,31263,1083,216,11,146,59,14839,948,3695,10196,444,570,13,423,98,36,14111,748,627,1324,6218,1450,3744,929,29,108,108,158,69,62,26,150,219,48699,4757,13624,1619,28699,"2012","Other","Female"
"149",79543,33167,32190,1042,205,13,132,60,16242,980,3956,11306,515,544,10,420,77,37,13642,708,598,1245,6009,1455,3627,977,28,110,117,188,87,60,22,166,199,46376,4682,13479,976,27239,"2013","Other","Female"
"150",80326,34791,33658,1050,242,12,157,73,17671,1096,4212,12363,514,555,18,426,87,24,13626,731,575,1165,6259,1448,3448,1133,32,133,172,194,91,58,25,187,241,45535,4771,12816,1076,26872,"2014","Other","Female"
"151",82437,36950,35703,1086,245,14,144,87,19425,1112,4700,13613,584,552,10,430,93,19,13811,631,698,1184,6622,1467,3209,1247,27,147,167,178,114,86,26,251,251,45487,4676,12743,1135,26933,"2015","Other","Female"
"152",80459,36984,35466,1193,257,14,151,92,19374,1187,4605,13582,593,623,17,456,119,31,13426,590,725,1117,6516,1411,3067,1518,46,188,212,189,128,101,36,297,321,43475,4549,11695,1200,26031,"2016","Other","Female"
"153",80355,37490,35790,1240,288,16,168,104,19598,1223,4853,13522,659,648,26,477,126,19,13357,512,731,1207,6644,1363,2900,1700,41,198,209,216,174,117,42,341,362,42865,4452,11389,1270,25754,"2017","Other","Female"
"154",78297,37513,35703,1274,288,17,192,79,20119,1285,4998,13836,633,614,11,465,117,21,12775,521,708,1113,6357,1301,2775,1810,50,237,256,233,150,116,43,343,382,40784,4334,10403,1253,24794,"2018","Other","Female"
